Rank,Player,Position,Nation Code,Nation,Club,Age,Born,Matches Played,Starts,Minutes Played,90s Played,Goals,Assists,Goals + Assists,Non-Penalty Goals,Penalties Scored,Penalties Attempted,Yellow Cards,Red Cards,Goals per 90,Assists per 90,G+A per 90,Shots,Shots on Target,Tackles Won,Interceptions,Score,Dream XI
158,Mostafa Ziko,FWMF,eg,Egypt,Pyramids FC,29,1997,5,5,370,4.1,2,1,3,2,0,0,0,0,0.49,0.24,0.73,8,3,4,2,0.2419,No
159,Felix Nmecha,MF,de,Germany,Dortmund,25,2000,4,4,270,3.0,1,1,2,1,0,0,0,0,0.33,0.33,0.67,8,3,9,2,0.2399,No
160,Ricardo Adé,DF,ht,Haiti,LDU Quito,36,1990,3,3,270,3.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,4,1,2,5,0.2398,No
161,Montassar Talbi,DF,tn,Tunisia,Lorient,28,1998,3,3,270,3.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,1,0,2,5,0.2398,No
162,Hannes Delcroix,DF,ht,Haiti,Lugano,27,1999,3,3,270,3.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,3,4,0.2389,No
163,Ró-Ró,DF,qa,Qatar,Al Sadd,35,1990,3,3,270,3.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,3,1,4,3,0.2381,No
164,Ramin Rezaeian,DFMF,ir,IR Iran,Foolad,36,1990,3,3,270,3.0,2,1,3,2,0,0,0,0,0.67,0.33,1.0,4,2,5,2,0.2373,No
165,Ismael Saibari,FW,ma,Morocco,PSV,25,2001,5,5,381,4.2,3,0,3,3,0,0,0,0,0.71,0.0,0.71,10,3,2,0,0.2371,No
166,Dani Olmo,MF,es,Spain,Barcelona,28,1998,7,5,417,4.6,0,2,2,0,0,0,0,0,0.0,0.43,0.43,13,2,5,1,0.237,No
167,Abdülkerim Bardakcı,DF,tr,Türkiye,Galatasaray,31,1994,3,3,265,2.9,0,0,0,0,0,0,0,0,0.0,0.0,0.0,3,1,5,2,0.2358,No
168,Lucas Digne,DF,fr,France,Aston Villa,32,1993,5,5,418,4.6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,2,1,3,2,0.2352,No
169,Bekhruz Karimov,DF,uz,Uzbekistan,FC Surkhon,18,2007,2,2,179,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,2,0,5,3,0.2342,No
170,Nicolás Otamendi,DF,ar,Argentina,Benfica,38,1988,6,1,170,1.9,0,0,0,0,0,0,0,0,0.0,0.0,0.0,1,0,2,6,0.2341,No
171,Viktor Gyökeres,FW,se,Sweden,Arsenal,28,1998,4,4,360,4.0,1,2,3,1,0,0,1,0,0.25,0.5,0.75,12,6,1,0,0.2339,No
172,Nicolas Raskin,MF,be,Belgium,Rangers,25,2001,6,3,341,3.8,0,2,2,0,0,0,0,0,0.0,0.53,0.53,2,1,5,2,0.2327,No
173,Mohamed Salah,FWMF,eg,Egypt,Liverpool,34,1992,5,5,425,4.7,1,2,3,1,0,0,0,0,0.21,0.42,0.64,9,4,0,2,0.2324,No
174,Bradley Barcola,MF,fr,France,PSG,23,2002,7,4,339,3.8,2,1,3,2,0,0,1,0,0.53,0.27,0.8,10,5,4,1,0.2307,No
175,Moussa Niakhaté,DF,sn,Senegal,Lyon,30,1996,4,4,390,4.3,0,1,1,0,0,0,0,0,0.0,0.23,0.23,1,0,1,4,0.2288,No
176,Reece James,DF,eng,England,Chelsea,26,1999,4,3,311,3.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,1,0,3,3,0.2275,No
177,Jordy Bos,MFDF,au,Australia,Feyenoord,23,2002,4,4,308,3.4,0,0,0,0,0,0,1,0,0.0,0.0,0.0,5,2,3,3,0.2266,No
178,Neil El Aynaoui,MF,ma,Morocco,Roma,25,2001,6,6,562,6.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,7,2,9,8,0.2248,No
179,Ayase Ueda,FW,jp,Japan,Feyenoord,27,1998,4,4,321,3.6,2,1,3,2,0,0,0,0,0.56,0.28,0.84,9,4,1,0,0.2225,No
180,Désiré Doué,MF,fr,France,PSG,21,2005,7,3,355,3.9,1,1,2,1,0,0,0,0,0.25,0.25,0.51,13,8,6,2,0.2222,No
181,Sidny Lopes Cabral,DF,cv,Cabo Verde,Benfica,23,2002,3,3,285,3.2,1,0,1,1,0,0,2,0,0.32,0.0,0.32,4,2,2,4,0.2208,No
182,Hans Vanaken,MF,be,Belgium,Club Brugge,33,1992,6,3,319,3.5,1,2,3,1,0,0,0,0,0.28,0.56,0.85,5,1,1,1,0.2203,No
183,Ryan Gravenberch,MF,nl,Netherlands,Liverpool,24,2002,4,4,345,3.8,0,2,2,0,0,0,0,0,0.0,0.52,0.52,5,0,1,6,0.2199,No
184,Álex Baena,MFFW,es,Spain,Atlético Madrid,24,2001,6,6,407,4.5,1,1,2,1,0,0,1,0,0.22,0.22,0.44,12,5,5,2,0.2198,No
185,Victor Lindelöf,DFMF,se,Sweden,Aston Villa,32,1994,4,4,356,4.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,2,0,1,4,0.2189,No
186,Youri Tielemans,MF,be,Belgium,Aston Villa,29,1997,5,5,474,5.3,2,0,2,1,1,1,0,0,0.38,0.0,0.38,11,3,6,2,0.217,No
187,Odilon Kossounou,DF,ci,Côte d'Ivoire,Atalanta,25,2001,4,3,272,3.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,3,3,0.2162,No
188,Andrés Andrade Cedeño,DF,pa,Panama,LASK,27,1998,3,3,270,3.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0,0,3,3,0.2156,No
189,Shoja' Khalilzadeh,DF,ir,IR Iran,Tractor,37,1989,3,3,270,3.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,2,0,3,3,0.2156,No
190,Boualem Khoukhi,DF,qa,Qatar,Al Sadd,36,1990,3,3,270,3.0,1,0,1,1,0,0,0,0,0.33,0.0,0.33,3,1,3,3,0.2156,No
191,Chadi Riad,DF,ma,Morocco,Crystal Palace,23,2003,4,4,344,3.8,0,1,1,0,0,0,0,0,0.0,0.26,0.26,1,0,1,4,0.2154,No
192,Mohanad Lasheen,MF,eg,Egypt,,30,1996,4,4,359,4.0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,2,0,11,8,0.2153,No
193,Crysencio Summerville,FW,nl,Netherlands,West Ham,24,2001,4,2,253,2.8,2,2,4,2,0,0,1,0,0.71,0.71,1.42,2,2,2,2,0.2153,No
194,Mathías Olivera,DF,uy,Uruguay,Napoli,28,1997,3,3,270,3.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,1,0,4,2,0.2148,No
195,Lamine Yamal,MFFW,es,Spain,Barcelona,19,2007,7,6,494,5.5,1,0,1,1,0,0,0,0,0.18,0.0,0.18,27,12,9,2,0.2124,No
196,Marcos Llorente,DF,es,Spain,Atlético Madrid,31,1995,3,2,187,2.1,0,1,1,0,0,0,0,0,0.0,0.48,0.48,0,0,6,1,0.2123,No
197,Dan Ndoye,MFFW,ch,Switzerland,Nottingham,25,2000,6,5,406,4.5,2,0,2,2,0,0,0,0,0.44,0.0,0.44,16,8,5,4,0.2104,No
198,Pedri,MF,es,Spain,Barcelona,23,2002,7,5,440,4.9,0,0,0,0,0,0,1,0,0.0,0.0,0.0,5,2,8,10,0.2104,No
199,Ruben Vargas,MF,ch,Switzerland,Sevilla,27,1998,6,3,284,3.2,2,1,3,2,0,0,0,0,0.63,0.32,0.95,6,4,2,2,0.2094,No
200,Soufiane Rahimi,FW,ma,Morocco,Al Ain,30,1996,6,0,163,1.8,2,1,3,2,0,0,0,0,1.1,0.55,1.66,6,4,2,0,0.2079,No
201,Brian Brobbey,FW,nl,Netherlands,Sunderland,24,2002,4,3,223,2.5,3,0,3,3,0,0,0,0,1.21,0.0,1.21,4,3,1,0,0.2078,No
202,Abdulelah Al-Amri,DF,sa,Saudi Arabia,,29,1997,3,3,239,2.7,1,0,1,1,0,0,1,0,0.38,0.0,0.38,4,2,2,4,0.2074,No
203,Harry Souttar,DF,au,Australia,Leicester City,27,1998,4,4,390,4.3,0,0,0,0,0,0,1,0,0.0,0.0,0.0,1,1,0,4,0.2063,No
204,Hannibal Mejbri,MF,tn,Tunisia,Burnley,23,2003,3,3,270,3.0,0,2,2,0,0,0,0,0,0.0,0.67,0.67,3,1,4,1,0.2057,No
205,Pape Gueye,MF,sn,Senegal,Villarreal,27,1999,4,3,234,2.6,2,1,3,2,0,0,1,0,0.77,0.38,1.15,8,3,1,4,0.2055,No
206,Virgil van Dijk,DF,nl,Netherlands,Liverpool,35,1991,4,4,390,4.3,1,1,2,1,0,0,0,0,0.23,0.23,0.46,2,2,1,3,0.2054,No
207,Derek Cornelius,DF,ca,Canada,Marseille,28,1997,4,4,315,3.5,0,0,0,0,0,0,1,0,0.0,0.0,0.0,5,1,3,2,0.2053,No
208,Tomáš Holeš,DF,cz,Czechia,Slavia Prague,33,1993,2,2,153,1.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,3,4,0.205,No
209,José Canale,DF,py,Paraguay,Lanús,29,1996,4,1,161,1.8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,6,1,0.2048,No
210,Andreas Schjelderup,FW,no,Norway,Benfica,22,2004,6,2,252,2.8,1,3,4,1,0,0,0,0,0.36,1.07,1.43,3,2,3,5,0.2039,No
