,,,,,,,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,,-additional
Rk,Player,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Matches,-9999
620,Shahriar Moghanlou,FW,ir IR Iran,31-208,1994,1.0,0,0,0,1,1,1,2,0,2,,,0,Matches,92f69be8
621,Milad Mohammadi,DF,ir IR Iran,32-291,1993,2.3,0,0,0,1,1,2,3,2,4,,,0,Matches,740a0e28
622,Mohammad Mohebi,MF,ir IR Iran,27-209,1998,2.7,0,0,0,1,1,0,1,1,1,,,0,Matches,7b6b53c3
623,Johan Mojica,DF,co Colombia,33-330,1992,4.3,1,0,0,1,7,1,11,3,3,,,0,Matches,608f2092
624,Teboho Mokoena,MF,za South Africa,29-174,1997,3.0,2,0,0,3,6,0,5,5,3,,,0,Matches,00029b1e
625,Nahuel Molina,DF,ar Argentina,28-102,1998,5.2,0,0,0,3,0,1,5,6,2,,,0,Matches,23610943
626,Jamiro Monteiro,MF,cv Cabo Verde,32-236,1993,3.1,0,0,0,4,2,0,7,4,4,,,0,Matches,d384bddd
627,César Montes,DF,mx Mexico,29-143,1997,3.5,0,1,0,4,3,0,2,2,1,,,0,Matches,28e957d7
628,Gonzalo Montiel,DF,ar Argentina,29-197,1997,1.5,1,0,0,3,0,0,4,1,2,,,0,Matches,374d5158
629,Kim Moon-hwan,MF,kr Korea Republic,30-350,1995,0.8,0,0,0,0,0,0,0,1,1,,,0,Matches,6bce7dd8
630,Gilberto Mora,MF,mx Mexico,17-276,2008,2.4,0,0,0,3,3,0,4,2,2,,,0,Matches,69c9ffe8
631,Diego Moreira,MF,be Belgium,21-345,2004,0.6,0,0,0,2,1,1,5,1,1,,,0,Matches,12de1b0d
632,Steven Moreira,DF,cv Cabo Verde,31-338,1994,3.3,0,0,0,0,2,0,4,2,3,,,0,Matches,f10983ae
633,Tshepang Moremi,MF,za South Africa,25-288,2000,0.4,0,0,0,1,1,0,0,0,1,,,0,Matches,546d38f9
634,Orlando Mosquera,GK,pa Panama,31-204,1994,3.0,0,0,0,0,0,0,0,0,0,,,0,Matches,ea34d827
635,Samir El Mourabet,MF,ma Morocco,20-284,2005,0.9,0,0,0,0,1,0,1,1,1,,,0,Matches,1a03d055
636,Samuel Moutoussamy,MF,cd Congo DR,29-339,1996,3.7,1,0,0,8,1,0,1,1,8,,,0,Matches,af0c835b
637,Akmal Mozgovoy,MF,uz Uzbekistan,27-106,1999,2.4,0,0,0,0,3,0,0,2,0,,,0,Matches,114cb95b
638,Lionel Mpasi,GK,cd Congo DR,31-350,1994,4.0,0,0,0,0,0,0,0,0,0,,,0,Matches,5c6b0637
639,Khuliso Mudau,DF,za South Africa,31-082,1995,4.0,0,0,0,4,10,1,3,11,8,,,0,Matches,75388f92
640,Tarik Muharemovic,DF,ba Bosnia–Herz,23-139,2003,2.9,0,1,0,5,2,0,1,8,1,,,0,Matches,426dda23
641,Miro Muheim,DFMF,ch Switzerland,28-115,1998,1.0,1,0,0,1,3,0,2,2,1,,,0,Matches,844c6a91
642,Ngal'Ayel Mukau,MF,cd Congo DR,21-256,2004,2.2,0,0,0,3,4,1,0,3,2,,,0,Matches,bb461b8a
643,Mert Müldür,DF,tr Türkiye,27-105,1999,1.1,0,0,0,1,2,0,6,1,2,,,0,Matches,1295552e
644,Daniel Muñoz,DF,co Colombia,30-052,1996,4.4,0,0,0,9,1,3,8,7,3,,,0,Matches,778ef829
645,Petar Musa,FW,hr Croatia,28-135,1998,1.2,0,0,0,1,1,0,0,0,0,,,0,Matches,4567a0b4
646,Jamal Musiala,MF,de Germany,23-141,2003,3.0,1,0,0,5,11,0,5,1,5,,,0,Matches,2c0558b8
647,Fernando Muslera,GK,uy Uruguay,40-031,1986,2.5,0,0,0,0,0,0,0,0,0,,,0,Matches,a2abe631
648,Phillipp Mwene,DF,at Austria,32-169,1994,1.6,0,0,0,1,1,0,6,3,0,,,0,Matches,2ff76adc
649,David Møller Wolfe,DF,no Norway,24-085,2002,4.8,0,0,0,7,2,0,5,3,3,,,0,Matches,9affc5f2
650,Yūto Nagatomo,DFMF,jp Japan,39-308,1986,0.2,0,0,0,0,0,0,1,1,0,,,0,Matches,4b6960d2
651,Keito Nakamura,MF,jp Japan,25-354,2000,3.4,0,0,0,3,1,1,9,1,3,,,0,Matches,d97af612
652,Abdallah Nasib,DF,jo Jordan,32-142,1994,2.9,0,0,0,1,1,0,0,7,3,,,0,Matches,aaab3072
653,Sherzod Nasrullaev,DFMF,uz Uzbekistan,27-359,1998,2.0,1,0,0,3,2,0,3,2,2,,,0,Matches,aeb0c7f7
654,Duckens Nazon,FWMF,ht Haiti,32-101,1994,0.3,1,0,0,0,1,0,0,0,0,,,0,Matches,20e87a42
655,Iliman Ndiaye,FW,sn Senegal,26-133,2000,1.3,0,0,0,2,1,0,2,2,0,,,0,Matches,5ed97752
656,Dan Ndoye,MFFW,ch Switzerland,25-265,2000,4.5,0,0,0,5,16,4,11,4,5,,,0,Matches,8e697a8f
657,Jayden Nelson,FWMF,ca Canada,23-294,2002,0.0,0,0,0,0,0,0,2,0,0,,,0,Matches,92305a81
658,Ali Nemati,DF,ir IR Iran,30-159,1996,3.0,1,0,0,3,0,1,2,0,2,,,0,Matches,19a221f7
659,Abduvohid Nematov,GK,uz Uzbekistan,25-119,2001,2.0,0,0,0,0,0,0,0,0,0,,,1,Matches,25e45f2a
660,Pedro Neto,MF,pt Portugal,26-130,2000,3.9,0,0,0,4,4,0,13,0,2,,,0,Matches,7ba2eaa9
661,Manuel Neuer,GK,de Germany,40-112,1986,4.3,0,0,0,0,2,0,0,0,0,,,0,Matches,8778c910
662,João Neves,MF,pt Portugal,21-293,2004,4.3,0,0,0,1,4,0,2,4,7,,,0,Matches,c2a15a27
663,Rúben Neves,MF,pt Portugal,29-126,1997,0.6,0,0,0,0,0,0,0,0,0,,,0,Matches,44bfb6c5
664,Neymar,FWMF,br Brazil,34-162,1992,0.4,1,0,0,1,1,0,7,0,0,,,0,Matches,69384e5d
665,Nathan Ngoy,DF,be Belgium,23-037,2003,3.7,0,1,0,6,1,0,0,7,4,,,0,Matches,eb7abf2e
666,Moussa Niakhaté,DF,sn Senegal,30-131,1996,4.3,0,0,0,3,6,0,2,4,1,,,0,Matches,00242715
667,Gustaf Nilsson,FW,se Sweden,29-055,1997,0.0,0,0,0,0,0,0,0,0,0,,,0,Matches,a7d48b00
668,Felix Nmecha,MF,de Germany,25-280,2000,3.0,0,0,0,3,3,0,2,2,9,,,0,Matches,091c86e2
669,Kristoffer Nordfeldt,GK,se Sweden,37-024,1989,2.0,0,0,0,0,0,0,0,0,0,,,0,Matches,78549904
670,Tyrese Noslin,MF,cw Curaçao,23-309,2002,0.2,0,0,0,0,2,0,3,0,0,,,0,Matches,c3709bd2
671,Ernest Nuamah,MF,gh Ghana,22-258,2003,1.0,0,0,0,2,2,0,1,0,1,,,0,Matches,234a703c
672,Matheus Nunes,DFMF,pt Portugal,27-324,1998,0.0,0,0,0,0,0,0,0,0,0,,,0,Matches,e6af02e0
673,Darwin Núñez,FW,uy Uruguay,27-023,1999,1.7,0,0,0,1,1,2,1,2,1,,,0,Matches,4d77b365
674,Antonio Nusa,FW,no Norway,21-091,2005,3.5,1,0,0,1,5,2,7,2,2,,,0,Matches,4ab12002
675,Benjamin Nygren,MF,se Sweden,25-009,2001,1.4,0,0,0,3,0,0,5,0,0,,,0,Matches,d6ebf67f
676,Ørjan Nyland,GK,no Norway,35-310,1990,5.3,0,0,0,0,0,0,0,1,0,,,0,Matches,bdedffac
677,Aiden O'Neill,MF,au Australia,28-013,1998,4.0,0,0,0,2,8,0,10,2,2,,,0,Matches,c7aee75b
678,Nico O'Reilly,DF,eng England,21-118,2005,5.1,1,0,0,6,4,0,4,5,3,,,0,Matches,91ca4a16
679,Salim Obaid,DF,jo Jordan,34-181,1992,0.2,0,0,0,1,0,0,0,0,2,,,0,Matches,f494bf5f
680,Armando Obispo,DF,cw Curaçao,27-134,1999,3.0,0,0,0,1,0,1,0,7,1,,,0,Matches,2ffa6348
681,Guillermo Ochoa,GK,mx Mexico,41-004,1985,0.1,0,0,0,0,0,0,0,0,0,,,0,Matches,1e9bde92
682,Kōki Ogawa,FW,jp Japan,28-343,1997,0.5,0,0,0,1,0,0,0,0,0,,,0,Matches,3d2e8955
683,Braian Ojeda,MF,py Paraguay,26-020,2000,0.2,0,0,0,0,0,0,0,0,0,,,0,Matches,60953af0
684,Noah Okafor,FWMF,ch Switzerland,26-054,2000,0.2,0,0,0,0,0,0,0,0,1,,,0,Matches,ca607d59
685,Ime Okon,DF,za South Africa,22-147,2004,4.0,0,0,0,1,0,0,0,5,2,,,0,Matches,3cb58055
686,Paul Okon-Engstler,MF,au Australia,21-174,2005,2.2,0,0,0,3,2,0,2,5,2,,,0,Matches,ecd6464a
687,Ben Old,MF,nz New Zealand,23-338,2002,1.0,0,0,0,0,1,0,1,1,0,,,0,Matches,e14e818c
688,Michael Olise,MF,fr France,24-217,2001,6.2,1,0,0,4,16,0,22,3,6,,,0,Matches,c4486bac
689,Mathías Olivera,DF,uy Uruguay,28-259,1997,3.0,1,0,0,3,0,0,5,2,4,,,0,Matches,41c12f75
690,Dani Olmo,MF,es Spain,28-071,1998,4.6,0,0,0,5,8,0,0,1,5,,,0,Matches,ae44e8e2
691,Tani Oluwaseyi,FW,ca Canada,26-063,2000,2.9,0,0,0,5,5,1,2,0,3,,,0,Matches,950ef017
692,Ali Olwan,MF,jo Jordan,26-113,2000,3.0,0,0,0,1,4,1,5,1,0,,,0,Matches,33c1d68d
693,Amadou Onana,MF,be Belgium,24-335,2001,1.2,0,0,0,1,3,0,0,2,2,,,0,Matches,828657ff
694,Christopher Opéri,DF,ci Côte d'Ivoire,29-079,1997,1.0,0,0,0,2,0,0,2,1,2,,,0,Matches,914bb955
695,Jerome Opoku,DF,gh Ghana,27-276,1998,3.0,0,0,0,2,4,0,0,1,2,,,0,Matches,091d6ee5
696,Joel Ordóñez,DF,ec Ecuador,22-087,2004,2.5,0,0,0,1,1,0,0,1,5,,,0,Matches,2990a15c
697,Jonathan Osorio,MF,ca Canada,34-035,1992,0.1,0,0,0,0,1,0,0,1,0,,,0,Matches,70106ff6
698,Nicolás Otamendi,DF,ar Argentina,38-155,1988,1.9,0,0,0,3,0,1,0,5,2,,,0,Matches,0d267745
699,Zakaria El Ouahdi,DFMF,ma Morocco,24-198,2001,0.2,0,0,0,1,1,0,0,0,0,,,0,Matches,a3d79d3c
700,Ayoub Al-Oui,DF,qa Qatar,21-128,2005,1.7,0,0,0,1,0,0,0,2,0,,,0,Matches,010e5bae
701,Azzedine Ounahi,MF,ma Morocco,26-089,2000,4.8,1,0,0,3,7,0,4,1,1,,,0,Matches,83299cc0
702,Mohammed Al-Owais,GK,sa Saudi Arabia,34-280,1991,3.0,0,0,0,0,1,0,0,0,0,,,0,Matches,f2c060c6
703,Elisha Owusu,MF,gh Ghana,28-252,1997,1.7,0,0,0,2,0,0,3,0,3,,,0,Matches,e2781082
704,Mikel Oyarzabal,FW,es Spain,29-087,1997,6.0,0,0,0,3,4,0,3,1,4,,,0,Matches,8c3c640c
705,Salih Özcan,MF,tr Türkiye,28-187,1998,1.1,0,0,0,2,2,0,1,4,1,,,0,Matches,15413fa5
706,Willian Pacho,DF,ec Ecuador,24-274,2001,4.0,0,0,0,3,2,0,0,8,2,,,0,Matches,ecbe2839
707,Kendry Páez,MF,ec Ecuador,19-074,2007,0.1,1,0,0,1,0,0,0,0,0,,,0,Matches,f3bb9f59
708,Exequiel Palacios,DF,ar Argentina,27-285,1998,1.0,0,0,0,1,1,0,0,5,0,,,0,Matches,e82adcab
709,Lucas Paquetá,MF,br Brazil,28-324,1997,2.6,0,0,0,3,6,0,5,5,4,,,0,Matches,9b6f7fd5
710,Leandro Paredes,MF,ar Argentina,32-018,1994,4.4,1,0,0,5,2,0,1,3,5,,,0,Matches,dff153a4
711,Thomas Partey,MF,gh Ghana,33-034,1993,3.0,0,0,0,2,5,0,0,6,4,,,0,Matches,529f49ab
712,Marco Pašalić,MF,hr Croatia,25-306,2000,1.1,0,0,0,0,2,2,11,1,2,,,0,Matches,1866b0f1
713,Mario Pašalić,MF,hr Croatia,31-158,1995,1.4,0,0,0,2,0,1,1,1,1,,,0,Matches,e599253a
714,Nathan Patterson,DF,sct Scotland,24-274,2001,2.1,0,0,0,2,0,0,1,3,2,,,0,Matches,230f0471
715,João Paulo Fernandes,DF,cv Cabo Verde,28-052,1998,1.2,0,0,0,0,4,0,5,6,1,,,0,Matches,afcac9da
716,Aleksandar Pavlovic,MF,de Germany,22-075,2004,3.0,1,0,0,13,4,0,1,2,3,,,0,Matches,2658c82f
717,Tim Payne,DF,nz New Zealand,32-188,1994,2.5,0,0,0,2,2,0,10,1,3,,,0,Matches,4e86877c
718,Nicolás Paz,MF,ar Argentina,21-312,2004,0.8,0,0,0,2,1,0,0,0,2,,,0,Matches,01bb93d5
719,Marcus Pedersen,DF,no Norway,26-001,2000,2.6,0,0,0,3,1,0,6,0,2,,,0,Matches,596cc50e
720,Pedri,MF,es Spain,23-234,2002,4.9,1,0,0,3,5,1,13,9,7,,,0,Matches,0d9b2d31
721,Nicolas Pépé,FW,ci Côte d'Ivoire,31-049,1995,2.6,1,0,0,1,1,1,10,3,0,,,0,Matches,57e3f0c7
722,Ricardo Pepi,FW,us United States,23-189,2003,2.3,0,0,0,5,3,2,0,1,1,,,0,Matches,a2b1ed42
723,Kojo Peprah Oppong,DF,gh Ghana,22-043,2004,0.5,1,0,0,1,0,0,0,0,0,,,0,Matches,37a6fdb3
724,Ivan Perišić,MFDF,hr Croatia,37-165,1989,4.0,2,0,0,4,1,0,20,4,4,,,0,Matches,6fe90922
725,Jens Petter Hauge,DFFW,no Norway,26-278,1999,0.1,0,0,0,0,0,0,0,0,0,,,0,Matches,12c35abe
726,Charles Pickel,DFMF,cd Congo DR,29-063,1997,0.4,1,0,0,2,1,0,0,0,0,,,0,Matches,f71ad8cb
727,Jordan Pickford,GK,eng England,32-132,1994,7.3,0,0,0,0,4,0,0,0,0,,,0,Matches,4806ec67
728,Pico,DF,cv Cabo Verde,34-030,1992,4.3,0,0,0,0,3,0,0,7,5,,,0,Matches,faef0f92
729,Frantzdy Pierrot,FW,ht Haiti,31-110,1995,1.6,1,0,0,5,4,2,0,0,0,,,0,Matches,307877be
730,Kevin Pina,MF,cv Cabo Verde,29-171,1997,3.9,1,0,0,5,3,0,2,3,7,,,0,Matches,296026ae
731,Wagner Pina,DF,cv Cabo Verde,23-256,2002,1.0,1,0,0,1,3,0,2,1,0,,,0,Matches,9bf22b95
732,Orbelín Pineda,FWMF,mx Mexico,30-115,1996,0.3,0,0,0,0,2,0,0,0,0,,,0,Matches,411fabd7
733,Yéremy Pino,FWMF,es Spain,23-270,2002,0.8,0,0,0,2,0,1,1,0,0,,,0,Matches,540ec57b
734,Isidro Pitta,FW,py Paraguay,26-337,1999,0.5,0,0,0,2,0,2,0,0,0,,,0,Matches,e9fc7295
735,Johny Placide,GK,ht Haiti,38-169,1988,3.0,1,0,0,0,0,0,0,0,0,,,0,Matches,f1666a9d
736,Gonzalo Plata,FW,ec Ecuador,25-258,2000,4.0,1,0,0,5,4,0,8,2,5,,,0,Matches,54bcdeb0
737,Marin Pongračić,DF,hr Croatia,28-309,1997,3.0,0,0,0,3,0,0,0,0,3,,,0,Matches,2a6cd437
738,Jackson Porozo,DF,ec Ecuador,25-347,2000,0.3,1,0,0,2,0,0,0,0,0,,,0,Matches,7d704e92
739,Pedro Porro,DF,es Spain,26-307,1999,4.9,0,0,0,7,6,0,18,6,9,,,0,Matches,27d0a506
740,Stefan Posch,DF,at Austria,29-064,1997,3.7,2,0,0,7,3,0,3,10,4,,,0,Matches,7f609bfc
741,Alexander Prass,DFMF,at Austria,25-052,2001,0.3,0,0,0,0,0,0,3,0,0,,,0,Matches,6637e6a7
742,Ángelo Preciado,DFMF,ec Ecuador,28-149,1998,1.2,0,0,0,0,1,0,7,3,1,,,0,Matches,eadc8e4f
743,Ruben Providence,MF,ht Haiti,25-010,2001,2.4,0,0,0,3,5,0,6,0,2,,,0,Matches,26bab383
744,Lukáš Provod,FW,cz Czechia,29-267,1996,1.4,0,0,0,2,1,1,5,1,3,,,0,Matches,8f21b7bd
745,Marc Pubill,DF,es Spain,23-027,2003,0.0,0,0,0,0,0,0,0,0,0,,,0,Matches,365113c0
746,Gustavo Puerta,MF,co Colombia,22-359,2003,5.2,1,0,0,9,8,0,2,3,3,,,0,Matches,2c08cab0
747,Christian Pulisic,MF,us United States,27-302,1998,2.5,0,0,0,1,8,2,4,0,1,,,0,Matches,1bf33a9a
748,Ahmed Qasem,MFFW,iq Iraq,23-005,2003,1.4,0,0,0,0,1,0,1,0,0,,,0,Matches,27219ecb
749,Jarell Quansah,DF,eng England,23-169,2003,1.3,1,1,0,1,0,0,1,0,0,,,0,Matches,4125cb98
750,Julián Quiñones,FWMF,mx Mexico,29-115,1997,4.6,0,0,0,5,7,1,3,0,0,,,0,Matches,5535c728
751,Alberto Quintero,FWMF,pa Panama,38-211,1987,0.0,0,0,0,1,0,0,1,0,0,,,0,Matches,5854ae43
752,Juan Quintero,FWMF,co Colombia,33-180,1993,1.3,0,0,0,0,1,0,12,0,0,,,0,Matches,540d0b37
753,Ramy Rabia,DF,eg Egypt,33-058,1993,4.1,0,0,0,3,2,0,0,3,5,,,0,Matches,e32afa36
754,Adrien Rabiot,MF,fr France,31-105,1995,5.5,1,0,0,11,3,1,2,9,5,,,0,Matches,8794e251
755,Stjepan Radeljić,DF,ba Bosnia–Herz,28-315,1997,2.0,1,0,0,1,3,0,0,0,1,,,0,Matches,30e03a25
756,Soufiane Rahimi,FW,ma Morocco,30-045,1996,1.8,0,0,0,5,6,2,1,0,2,,,0,Matches,f126a259
757,Abdul Rahman Baba,DFMF,gh Ghana,32-015,1994,0.0,0,0,0,0,0,0,0,0,0,,,0,Matches,e4086af3
758,Anthony Ralston,DF,sct Scotland,27-243,1998,0.1,0,0,0,2,0,0,1,0,0,,,0,Matches,56208b05
759,Gonçalo Ramos,FW,pt Portugal,25-027,2001,0.4,0,0,0,0,0,0,0,0,0,,,0,Matches,f63cda26
760,Jiovany Ramos,DF,pa Panama,29-172,1997,1.8,0,0,0,2,1,0,0,3,1,,,0,Matches,30cda59f
761,Jesse Randall,MF,nz New Zealand,23-332,2002,0.7,0,0,0,0,1,0,5,0,0,,,0,Matches,513ec88e
762,Raúl Rangel,GK,mx Mexico,26-142,2000,4.9,0,0,0,1,0,0,0,0,0,,,0,Matches,15f733fb
763,Raphinha,MFFW,br Brazil,29-215,1996,1.4,0,0,0,1,2,2,9,0,0,,,0,Matches,3423f250
764,Nizar Al Rashdan,MF,jo Jordan,27-116,1999,2.8,0,0,0,5,4,0,0,2,5,,,0,Matches,feaa0ffd
765,Marcus Rashford,MF,eng England,28-259,1997,2.0,0,0,0,5,1,1,15,0,2,,,0,Matches,a1d5bd30
766,Nicolas Raskin,MF,be Belgium,25-144,2001,3.8,0,0,0,12,3,0,7,2,5,,,0,Matches,dba1f190
767,David Raum,DF,de Germany,28-086,1998,1.2,0,0,0,2,0,0,13,1,1,,,0,Matches,7d450ed3
768,Noor Al Rawabdeh,MF,jo Jordan,29-143,1997,3.0,0,0,0,1,0,0,0,2,7,,,0,Matches,3bb06c86
769,Rayan,FWMF,br Brazil,19-348,2006,3.2,0,0,0,5,4,1,11,3,4,,,0,Matches,288647fc
770,Iqraam Rayners,FW,za South Africa,30-210,1995,1.8,0,0,0,1,1,2,2,0,0,,,0,Matches,190b0d5e
771,Tim Ream,DF,us United States,38-285,1987,4.0,0,0,0,0,2,0,0,6,1,,,0,Matches,28b40c9c
772,Tijjani Reijnders,MF,nl Netherlands,27-353,1998,2.2,0,0,0,0,3,1,15,2,0,,,0,Matches,afb61630
773,Omar Rekik,DF,tn Tunisia,24-209,2001,2.0,0,0,0,0,1,1,1,3,2,,,0,Matches,e69e0f7b
774,Israel Reyes,DF,mx Mexico,26-055,2000,2.2,0,0,0,1,0,0,2,3,1,,,0,Matches,0db8bbc4
775,Gio Reyna,MF,us United States,23-246,2002,1.5,0,0,0,1,3,0,1,0,0,,,0,Matches,7fa4e703
776,Ramin Rezaeian,DFMF,ir IR Iran,36-118,1990,3.0,0,0,0,2,3,1,18,2,5,,,0,Matches,c0ae3446
777,Chadi Riad,DF,ma Morocco,23-030,2003,3.8,0,0,0,0,1,0,0,4,1,,,0,Matches,b3b9b8b8
778,Declan Rice,MF,eng England,27-184,1999,5.2,2,0,0,3,0,1,39,2,1,,,0,Matches,1c7012b8
779,Chris Richards,DF,us United States,26-111,2000,4.0,1,0,0,8,3,0,0,4,3,,,0,Matches,0a3d6d2b
780,Fabian Rieder,MFFW,ch Switzerland,24-151,2002,3.4,0,0,0,3,6,0,13,1,3,,,0,Matches,c2bd8585
781,Richard Ríos,MF,co Colombia,26-045,2000,1.6,1,0,0,10,4,0,1,1,2,,,0,Matches,72da065d
782,Ró-Ró,DF,qa Qatar,35-345,1990,3.0,0,0,0,1,7,0,2,3,4,,,0,Matches,8735fe66
783,Andy Robertson,DF,sct Scotland,32-128,1994,2.5,1,0,0,3,1,0,10,2,1,,,0,Matches,2e4f5f03
784,Antonee Robinson,DFMF,us United States,28-343,1997,3.9,1,0,0,4,1,0,18,6,4,,,0,Matches,289601e6
785,Miles Robinson,DF,us United States,29-125,1997,1.0,0,0,0,2,0,0,0,1,1,,,0,Matches,782a95d9
786,Sergio Rochet,GK,uy Uruguay,33-116,1993,0.5,0,0,0,0,0,0,0,0,0,,,0,Matches,81b99b9e
787,Rodri,MF,es Spain,30-025,1996,7.0,0,0,0,9,6,1,4,3,17,,,0,Matches,6434f10d
788,Garry Rodrigues,MF,cv Cabo Verde,35-232,1990,0.8,0,0,0,0,0,2,2,1,2,,,0,Matches,149895bf
789,Brian Rodríguez,FWMF,uy Uruguay,26-058,2000,0.5,0,0,0,0,1,0,13,0,0,,,0,Matches,c86041d7
790,James Rodríguez,FWMF,co Colombia,35-005,1991,3.5,0,0,0,0,5,0,18,1,1,,,0,Matches,715bf047
791,Kevin Rodríguez,FW,ec Ecuador,26-135,2000,1.3,0,0,0,3,2,0,0,0,1,,,0,Matches,189fb038
792,Ricardo Rodríguez,DF,ch Switzerland,33-326,1992,5.7,0,0,0,11,2,0,19,4,7,,,0,Matches,7f78ad23
793,Tomás Rodríguez,FW,pa Panama,27-130,1999,0.5,0,0,0,3,1,0,0,0,0,,,0,Matches,59f97bc8
794,Godfried Roemeratoe,MF,cw Curaçao,26-332,1999,0.1,0,0,0,0,0,0,0,0,0,,,0,Matches,a646b710
795,Morgan Rogers,MF,eng England,23-356,2002,2.8,0,0,0,5,3,2,5,0,3,,,0,Matches,2e5915f1
796,Cristian Romero,DF,ar Argentina,28-081,1998,6.0,1,0,0,9,3,0,0,11,10,,,0,Matches,a3d94a58
797,Luis Romo,MF,mx Mexico,31-042,1995,2.9,0,0,0,1,3,0,1,4,4,,,0,Matches,e590bb10
798,Cristiano Ronaldo,FW,pt Portugal,41-162,1985,4.9,0,0,0,2,5,6,0,1,1,,,0,Matches,dea698d9
799,Eloy Room,GK,cw Curaçao,37-161,1989,3.0,0,0,0,0,0,0,0,0,0,,,0,Matches,6b33d86b
800,Marten de Roon,DFMF,nl Netherlands,35-110,1991,0.1,0,0,0,0,0,0,0,0,0,,,0,Matches,2a1beb34
801,Saed Al-Rosan,DF,jo Jordan,29-166,1997,0.1,0,0,0,0,0,0,0,0,0,,,0,Matches,f3115445
802,Antonio Rüdiger,DF,de Germany,33-136,1993,2.9,0,0,0,1,0,0,3,0,0,,,0,Matches,18b896d6
803,Fabián Ruiz Peña,MF,es Spain,30-105,1996,2.9,0,0,0,1,3,0,8,3,3,,,0,Matches,c0c7ff58
804,Mathew Ryan,GK,au Australia,34-100,1992,0.0,0,0,0,0,0,0,0,0,0,,,0,Matches,4535e4bb
805,Julian Ryerson,DF,no Norway,28-242,1997,2.5,0,0,0,6,1,0,15,0,8,,,0,Matches,009a4f60
806,Elias Saad,MFFW,tn Tunisia,26-202,1999,1.3,0,0,0,1,3,1,2,0,1,,,0,Matches,78a2284f
807,Marwane Saâdane,DFMF,ma Morocco,34-181,1992,0.0,0,0,0,0,1,0,0,0,0,,,0,Matches,14f47102
808,Mustafa Saadoon,DF,iq Iraq,25-053,2001,0.2,0,0,0,2,0,0,0,0,1,,,0,Matches,928dc5c9
809,Mahmoud Saber,MF,eg Egypt,24-352,2001,0.5,1,0,0,2,1,0,1,0,0,,,0,Matches,632c42f5
810,Marcel Sabitzer,MF,at Austria,32-122,1994,4.0,1,0,0,2,3,1,31,6,2,,,0,Matches,e280527c
811,Noah Sadiki,MF,cd Congo DR,21-212,2004,2.9,2,0,0,2,3,0,1,2,4,,,0,Matches,645481cc
812,Michal Sadílek,MF,cz Czechia,27-047,1999,2.0,0,0,0,0,3,0,12,2,2,,,0,Matches,7c9fa389
813,Alexis Saelemaekers,MF,be Belgium,27-020,1999,0.9,0,0,0,0,2,2,1,0,2,,,0,Matches,ee251371
814,Ismael Saibari,FW,ma Morocco,25-170,2001,4.2,0,0,0,8,3,3,5,0,2,,,0,Matches,3ec9f005
815,Bukayo Saka,MF,eng England,24-315,2001,3.0,0,0,0,4,7,3,17,1,6,,,0,Matches,bc7dc64d
816,Mohamed Salah,FWMF,eg Egypt,34-032,1992,4.7,0,0,0,5,13,1,14,2,0,,,0,Matches,e342ad68
817,Anass Salah-Eddine,DF,ma Morocco,24-180,2002,2.4,0,0,0,3,2,0,3,0,5,,,0,Matches,0d274394
818,Nathan Saliba,MF,ca Canada,22-160,2004,2.0,1,0,0,5,2,0,2,4,4,,,0,Matches,44cfc681
819,William Saliba,DF,fr France,25-115,2001,5.3,0,0,0,4,0,0,0,6,0,,,0,Matches,972aeb2a
820,Shurandy Sambo,DF,cw Curaçao,24-332,2001,0.0,0,0,0,0,0,0,0,1,0,,,0,Matches,4b1d5a70
821,Antonio Sanabria,FW,py Paraguay,30-135,1996,0.9,0,0,0,1,2,0,0,0,2,,,0,Matches,0a447501
822,Davinson Sánchez,DF,co Colombia,30-035,1996,5.3,1,0,0,6,5,1,0,6,2,,,0,Matches,da7b447d
823,Jorge Sánchez,DF,mx Mexico,28-219,1997,3.9,1,0,0,5,1,1,6,5,4,,,0,Matches,c8d1c3a5
824,Alex Sandro,DFMF,br Brazil,35-172,1991,0.1,0,0,0,1,0,0,0,0,0,,,0,Matches,0d82903c
825,Leroy Sané,MF,de Germany,30-187,1996,3.6,0,0,0,3,2,1,10,2,3,,,0,Matches,2b114be3
826,Ibrahim Sangaré,MF,ci Côte d'Ivoire,28-227,1997,3.0,0,0,0,2,4,0,0,6,5,,,0,Matches,bced0375
827,Kaishū Sano,MF,jp Japan,25-199,2000,3.0,1,0,0,4,1,0,1,4,2,,,0,Matches,7a7a6361
828,Danilo Santos,MF,br Brazil,25-079,2001,0.5,0,0,0,0,0,0,0,1,2,,,0,Matches,a816dbfb
829,Douglas Santos,DF,br Brazil,32-117,1994,4.9,1,0,0,3,2,1,6,6,10,,,0,Matches,c50e5bba
830,Bara Sapoko Ndiaye,MF,sn Senegal,18-198,2007,0.3,0,0,0,0,2,0,0,0,0,,,0,Matches,fa080d50
831,Ismaila Sarr,MFFW,sn Senegal,28-142,1998,4.0,0,0,0,1,9,2,2,2,1,,,0,Matches,bfdb33aa
832,Farrukh Sayfiev,DFMF,uz Uzbekistan,35-181,1991,0.5,0,0,0,0,2,0,2,0,0,,,0,Matches,bad66fb5
