,,,,,,,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,,-additional
Rk,Player,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Matches,-9999
137,Tyler Bindon,DF,nz New Zealand,21-171,2005,1.1,0,0,0,2,1,0,2,1,2,,,0,Matches,3575e5eb
138,César Blackman,MFDF,pa Panama,28-106,1998,2.0,1,0,0,2,2,1,0,1,0,,,0,Matches,c2b11050
139,Damián Bobadilla,MF,py Paraguay,25-006,2001,2.1,0,0,0,1,1,0,1,5,3,,,1,Matches,ad7d6437
140,Oscar Bobb,FW,no Norway,23-005,2003,2.5,0,0,0,1,4,0,2,3,3,,,0,Matches,eed2427e
141,Moïse Bombito,DF,ca Canada,26-109,2000,2.1,0,0,0,2,0,0,0,1,0,,,0,Matches,c2f23fc8
142,Theo Bongonda,FWMF,cd Congo DR,30-239,1995,0.4,0,0,0,0,1,0,2,1,0,,,0,Matches,0da6a13e
143,Ange-Yoan Bonny,FW,ci Côte d'Ivoire,22-265,2003,2.6,0,0,0,1,3,1,1,1,2,,,0,Matches,64629ba4
144,Jordy Bos,MFDF,au Australia,23-261,2002,3.4,1,0,0,4,4,0,8,3,3,,,0,Matches,8070a9fd
145,Ayyoub Bouaddi,MF,ma Morocco,18-288,2007,4.2,0,0,0,3,6,0,0,1,3,,,0,Matches,8006228f
146,Hicham Boudaoui,MF,dz Algeria,26-297,1999,1.4,1,0,0,4,1,0,1,2,1,,,0,Matches,f9d5908e
147,Karim Boudiaf,MF,qa Qatar,35-304,1990,1.1,0,0,0,0,2,0,0,0,0,,,0,Matches,a38f33fd
148,Adil Boulbina,FW,dz Algeria,23-076,2003,0.2,0,0,0,0,0,1,0,0,0,,,0,Matches,12f7f264
149,Yassine Bounou,GK,ma Morocco,35-103,1991,6.3,0,0,0,0,4,0,0,0,0,,,1,Matches,f6798fc3
150,Nawaf Boushal,DF,sa Saudi Arabia,26-304,1999,1.0,0,0,0,1,1,0,0,1,0,,,0,Matches,7dc1c2c6
151,Michael Boxall,DF,nz New Zealand,37-333,1988,2.3,0,0,0,2,2,0,1,2,1,,,0,Matches,6bfa0d3a
152,Sultan Al-Brake,DF,qa Qatar,30-101,1996,1.6,0,0,0,2,0,0,5,2,1,,,0,Matches,fcaa2400
153,Joshua Brenet,DF,cw Curaçao,32-119,1994,2.0,0,0,0,0,1,1,0,1,4,,,0,Matches,2b5527c4
154,Brian Brobbey,FW,nl Netherlands,24-166,2002,2.5,0,0,0,4,3,2,1,0,1,,,0,Matches,4c184730
155,Dylan Bronn,DF,tn Tunisia,31-028,1995,0.5,0,0,0,1,0,0,0,1,0,,,0,Matches,edd81e2a
