Rk,Player,Pos,Squad,Age,Club,Born,Playing Time_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK,Matches,-additional_-9999,Standard_Sh,Standard_SoT,Performance_TklW,Performance_Int,Playing Time_Min_play
744,Lukáš Provod,FW,cz Czechia,29-267,1.cz Slavia Prague,1996,3,1,122,1.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches,8f21b7bd,1.0,0.0,3.0,1.0,122.0
745,Marc Pubill,DF,es Spain,23-027,1.es Atlético Madrid,2003,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches,365113c0,0.0,0.0,0.0,0.0,1.0
746,Gustavo Puerta,MF,co Colombia,22-359,2.es Racing Sant,2003,5,5,469,5.2,0,1,1,0,0,0,1,0,0.0,0.19,0.19,0.0,0.19,Matches,2c08cab0,14.0,5.0,3.0,3.0,469.0
747,Christian Pulisic,MF,us United States,27-302,1.it Milan,1998,4,3,223,2.5,0,1,1,0,0,0,0,0,0.0,0.4,0.4,0.0,0.4,Matches,1bf33a9a,4.0,2.0,1.0,0.0,223.0
748,Ahmed Qasem,MFFW,iq Iraq,23-005,1.us Nashville SC,2003,3,2,123,1.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches,27219ecb,0.0,0.0,0.0,0.0,123.0
749,Jarell Quansah,DF,eng England,23-169,1.de Leverkusen,2003,2,2,115,1.3,0,0,0,0,0,0,1,1,0.0,0.0,0.0,0.0,0.0,Matches,4125cb98,0.0,0.0,0.0,0.0,115.0
750,Julián Quiñones,FWMF,mx Mexico,29-115,1.sa Al-Qadsiah,1997,5,5,410,4.6,4,1,5,4,0,0,0,0,0.88,0.22,1.1,0.88,1.1,Matches,5535c728,14.0,6.0,0.0,0.0,410.0
751,Alberto Quintero,FWMF,pa Panama,38-211,1.pa Plaza Amador,1987,1,0,3,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches,5854ae43,0.0,0.0,0.0,0.0,3.0
752,Juan Quintero,FWMF,co Colombia,33-180,1.ar River Plate,1993,4,0,121,1.3,0,1,1,0,0,0,0,0,0.0,0.74,0.74,0.0,0.74,Matches,540d0b37,4.0,0.0,0.0,0.0,121.0
753,Ramy Rabia,DF,eg Egypt,33-058,1.ae Al Ain,1993,5,3,372,4.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches,e32afa36,1.0,1.0,5.0,3.0,372.0
754,Adrien Rabiot,MF,fr France,31-105,1.it Milan,1995,6,6,495,5.5,0,1,1,0,0,0,1,0,0.0,0.18,0.18,0.0,0.18,Matches,8794e251,9.0,1.0,7.0,11.0,495.0
755,Stjepan Radeljić,DF,ba Bosnia–Herz,28-315,1.hr Rijeka,1997,2,2,180,2.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,Matches,30e03a25,1.0,0.0,1.0,0.0,180.0
756,Soufiane Rahimi,FW,ma Morocco,30-045,1.ae Al Ain,1996,6,0,163,1.8,2,1,3,2,0,0,0,0,1.1,0.55,1.66,1.1,1.66,Matches,f126a259,6.0,4.0,2.0,0.0,163.0
757,Abdul Rahman Baba,DFMF,gh Ghana,32-015,1.gr PAOK,1994,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches,e4086af3,0.0,0.0,0.0,0.0,1.0
758,Anthony Ralston,DF,sct Scotland,27-243,1.sct Celtic,1998,2,0,11,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches,56208b05,1.0,1.0,0.0,0.0,11.0
759,Gonçalo Ramos,FW,pt Portugal,25-027,1.fr PSG,2001,2,0,36,0.4,1,0,1,1,0,0,0,0,2.5,0.0,2.5,2.5,2.5,Matches,f63cda26,2.0,1.0,0.0,0.0,36.0
760,Jiovany Ramos,DF,pa Panama,29-172,1.ve Puerto Cabello,1997,2,2,166,1.8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches,30cda59f,2.0,0.0,1.0,3.0,166.0
761,Jesse Randall,MF,nz New Zealand,23-332,1.au Auckland FC,2002,3,0,61,0.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches,513ec88e,1.0,0.0,0.0,0.0,61.0
762,Raúl Rangel,GK,mx Mexico,26-142,1.mx Guadalajara,2000,5,5,437,4.9,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches,15f733fb,0.0,0.0,0.0,0.0,437.0
763,Raphinha,MFFW,br Brazil,29-215,1.es Barcelona,1996,2,2,129,1.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches,3423f250,3.0,2.0,0.0,0.0,129.0
764,Nizar Al Rashdan,MF,jo Jordan,27-116,1.qa Qatar SC,1999,3,3,255,2.8,1,0,1,1,0,0,0,0,0.35,0.0,0.35,0.35,0.35,Matches,feaa0ffd,2.0,1.0,5.0,2.0,255.0
765,Marcus Rashford,MF,eng England,28-259,1.es Barcelona,1997,5,2,178,2.0,1,0,1,1,0,0,0,0,0.51,0.0,0.51,0.51,0.51,Matches,a1d5bd30,12.0,5.0,2.0,0.0,178.0
766,Nicolas Raskin,MF,be Belgium,25-144,1.sct Rangers,2001,6,3,341,3.8,0,2,2,0,0,0,0,0,0.0,0.53,0.53,0.0,0.53,Matches,dba1f190,2.0,1.0,5.0,2.0,341.0
767,David Raum,DF,de Germany,28-086,1.de RB Leipzig,1998,2,1,108,1.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches,7d450ed3,1.0,1.0,1.0,1.0,108.0
768,Noor Al Rawabdeh,MF,jo Jordan,29-143,1.my Selangor FA,1997,3,3,270,3.0,0,1,1,0,0,0,0,0,0.0,0.33,0.33,0.0,0.33,Matches,3bb06c86,1.0,0.0,7.0,2.0,270.0
769,Rayan,FWMF,br Brazil,19-348,1.eng Bournemouth,2006,4,3,288,3.2,0,1,1,0,0,0,0,0,0.0,0.31,0.31,0.0,0.31,Matches,288647fc,5.0,2.0,4.0,3.0,288.0
770,Iqraam Rayners,FW,za South Africa,30-210,1.za Sundowns,1995,4,2,161,1.8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches,190b0d5e,1.0,0.0,0.0,0.0,161.0
771,Tim Ream,DF,us United States,38-285,1.us Charlotte,1987,4,4,360,4.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches,28b40c9c,0.0,0.0,1.0,6.0,360.0
772,Tijjani Reijnders,MF,nl Netherlands,27-353,1.eng Manchester City,1998,3,3,199,2.2,0,1,1,0,0,0,0,0,0.0,0.45,0.45,0.0,0.45,Matches,afb61630,4.0,2.0,0.0,2.0,199.0
773,Omar Rekik,DF,tn Tunisia,24-209,1.si NK Maribor,2001,2,2,180,2.0,1,0,1,1,0,0,0,0,0.5,0.0,0.5,0.5,0.5,Matches,e69e0f7b,1.0,1.0,2.0,3.0,180.0
774,Israel Reyes,DF,mx Mexico,26-055,1.mx América,2000,4,2,202,2.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches,0db8bbc4,2.0,0.0,1.0,3.0,202.0
775,Gio Reyna,MF,us United States,23-246,1.de Gladbach,2002,5,1,131,1.5,1,0,1,1,0,0,0,0,0.69,0.0,0.69,0.69,0.69,Matches,7fa4e703,2.0,1.0,0.0,0.0,131.0
776,Ramin Rezaeian,DFMF,ir IR Iran,36-118,1.ir Foolad,1990,3,3,270,3.0,2,1,3,2,0,0,0,0,0.67,0.33,1.0,0.67,1.0,Matches,c0ae3446,4.0,2.0,5.0,2.0,270.0
777,Chadi Riad,DF,ma Morocco,23-030,1.eng Crystal Palace,2003,4,4,344,3.8,0,1,1,0,0,0,0,0,0.0,0.26,0.26,0.0,0.26,Matches,b3b9b8b8,1.0,0.0,1.0,4.0,344.0
778,Declan Rice,MF,eng England,27-184,1.eng Arsenal,1999,6,6,467,5.2,0,1,1,0,0,0,2,0,0.0,0.19,0.19,0.0,0.19,Matches,1c7012b8,6.0,3.0,3.0,5.0,467.0
779,Chris Richards,DF,us United States,26-111,1.eng Crystal Palace,2000,4,4,360,4.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,Matches,0a3d6d2b,1.0,0.0,3.0,4.0,360.0
780,Fabian Rieder,MFFW,ch Switzerland,24-151,1.de Augsburg,2002,5,3,302,3.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches,c2bd8585,7.0,2.0,3.0,1.0,302.0
781,Richard Ríos,MF,co Colombia,26-045,1.pt Benfica,2000,5,0,140,1.6,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,Matches,72da065d,5.0,1.0,2.0,1.0,140.0
782,Ró-Ró,DF,qa Qatar,35-345,1.qa Al Sadd,1990,3,3,270,3.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches,8735fe66,3.0,1.0,4.0,3.0,270.0
783,Andy Robertson,DF,sct Scotland,32-128,1.eng Liverpool,1994,3,3,225,2.5,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,Matches,2e4f5f03,0.0,0.0,1.0,2.0,225.0
784,Antonee Robinson,DFMF,us United States,28-343,1.eng Fulham,1997,4,4,348,3.9,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,Matches,289601e6,0.0,0.0,4.0,6.0,348.0
785,Miles Robinson,DF,us United States,29-125,1.us FC Cincinnati,1997,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches,782a95d9,1.0,0.0,1.0,1.0,90.0
786,Sergio Rochet,GK,uy Uruguay,33-116,1.br Internacional,1993,1,0,45,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches,81b99b9e,0.0,0.0,0.0,0.0,45.0
787,Rodri,MF,es Spain,30-025,1.eng Manchester City,1996,7,7,626,7.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches,6434f10d,7.0,0.0,20.0,3.0,626.0
788,Garry Rodrigues,MF,cv Cabo Verde,35-232,1.cy Apollon Limassol,1990,2,1,76,0.8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches,149895bf,1.0,0.0,2.0,1.0,76.0
789,Brian Rodríguez,FWMF,uy Uruguay,26-058,1.mx América,2000,3,0,41,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches,c86041d7,3.0,1.0,0.0,0.0,41.0
790,James Rodríguez,FWMF,co Colombia,35-005,1.us Minnesota Utd,1991,5,5,313,3.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches,715bf047,6.0,3.0,1.0,1.0,313.0
791,Kevin Rodríguez,FW,ec Ecuador,26-135,1.be Union SG,2000,4,0,118,1.3,0,1,1,0,0,0,0,0,0.0,0.76,0.76,0.0,0.76,Matches,189fb038,6.0,1.0,1.0,0.0,118.0
792,Ricardo Rodríguez,DF,ch Switzerland,33-326,1.es Real Betis,1992,6,6,517,5.7,0,1,1,0,0,0,0,0,0.0,0.17,0.17,0.0,0.17,Matches,7f78ad23,1.0,0.0,7.0,4.0,517.0
793,Tomás Rodríguez,FW,pa Panama,27-130,1.cr Saprissa,1999,2,1,46,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches,59f97bc8,1.0,1.0,0.0,0.0,46.0
794,Godfried Roemeratoe,MF,cw Curaçao,26-332,2.nl RKC Waalwijk,1999,1,0,7,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches,a646b710,0.0,0.0,0.0,0.0,7.0
795,Morgan Rogers,MF,eng England,23-356,1.eng Aston Villa,2002,6,2,249,2.8,0,1,1,0,0,0,0,0,0.0,0.36,0.36,0.0,0.36,Matches,2e5915f1,3.0,1.0,3.0,0.0,249.0
796,Cristian Romero,DF,ar Argentina,28-081,1.eng Tottenham,1998,6,6,539,6.0,1,0,1,1,0,0,1,0,0.17,0.0,0.17,0.17,0.17,Matches,a3d94a58,3.0,1.0,10.0,11.0,539.0
797,Luis Romo,MF,mx Mexico,31-042,1.mx Guadalajara,1995,4,4,264,2.9,1,1,2,1,0,0,0,0,0.34,0.34,0.68,0.34,0.68,Matches,e590bb10,3.0,1.0,4.0,4.0,264.0
798,Cristiano Ronaldo,FW,pt Portugal,41-162,1.sa Al-Nassr,1985,5,5,440,4.9,3,0,3,2,1,1,0,0,0.61,0.0,0.61,0.41,0.41,Matches,dea698d9,18.0,9.0,1.0,1.0,440.0
799,Eloy Room,GK,cw Curaçao,37-161,2.us Miami FC,1989,3,3,270,3.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches,6b33d86b,0.0,0.0,0.0,0.0,270.0
800,Marten de Roon,DFMF,nl Netherlands,35-110,1.it Atalanta,1991,1,0,11,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches,2a1beb34,0.0,0.0,0.0,0.0,11.0
