Rk,Player,Pos,Squad,Age,Club,Born,Playing Time_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK,Matches,-additional_-9999,Standard_Sh,Standard_SoT,Performance_TklW,Performance_Int,Playing Time_Min_play,Score
66,Elliot Anderson,MF,eng England,23-253,1.eng Nottingham,2002,7,7,0.8984034833091438,6.9,0.0,0.2,1,0,0,0,1,0,0.0,0.15,0.15,0.0,0.15,Matches,de31038e,0.17073170731707318,0.043478260869565216,0.9,0.5333333333333333,620.0,0.3831736816642477
67,Andrés Andrade Cedeño,DF,pa Panama,27-274,1.at LASK,1998,3,3,0.3904208998548621,3.0,0.0,0.0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,Matches,6ea23758,0.0,0.0,0.15000000000000002,0.2,270.0,0.21558417997097246
68,Fredrik André Bjørkan,DF,no Norway,27-330,1.no Bodø/Glimt,1998,1,1,0.06386066763425255,0.5,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches,3724baa1,0.0,0.0,0.05,0.13333333333333333,45.0,0.08193880019351718
69,Nilson Angulo,MF,ec Ecuador,23-028,1.eng Sunderland,2003,4,2,0.3149492017416545,2.4,0.125,0.0,1,1,0,0,0,0,0.41,0.0,0.41,0.41,0.41,Matches,a9b9d89c,0.04878048780487805,0.08695652173913043,0.05,0.13333333333333333,218.0,0.09232825350749879
70,Waldemar Anton,DFMF,de Germany,29-362,1.de Dortmund,1996,2,0,0.07111756168359942,0.6,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches,5e66fa06,0.024390243902439025,0.043478260869565216,0.05,0.13333333333333333,50.0,0.08339017900338655
71,Jeremy Antonisse,FWMF,cw Curaçao,24-110,1.gr AE Kifisia,2002,2,0,0.10740203193033382,0.8,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches,6011e63a,0.024390243902439025,0.0,0.05,0.0,75.0,0.020740203193033387
72,Houssem Aouar,MF,dz Algeria,28-017,1.sa Al-Ittihad,1998,3,2,0.24963715529753264,1.9,0.0,0.4,2,0,0,0,0,0,0.0,1.04,1.04,0.0,1.04,Matches,a5db0bec,0.07317073170731708,0.043478260869565216,0.05,0.0,173.0,0.15496371552975327
73,Oswin Appollis,MFFW,za South Africa,24-326,1.za Orlando Pirates,2001,4,3,0.36865021770682144,2.8,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches,e8933eb0,0.0975609756097561,0.043478260869565216,0.15000000000000002,0.06666666666666667,255.0,0.07353168843734882
74,Yazan Al-Arab,DF,jo Jordan,30-167,1.kr FC Seoul,1996,3,3,0.3904208998548621,3.0,0.0,0.0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,Matches,32878a09,0.0,0.0,0.05,0.7333333333333333,270.0,0.3572508466376391
75,Maxi Araújo,FWMF,uy Uruguay,26-152,1.pt Sporting CP,2000,3,3,0.36139332365747456,2.8,0.25,0.2,3,2,0,0,0,0,0.72,0.36,1.08,0.72,1.08,Matches,f9ab3f4a,0.0975609756097561,0.13043478260869565,0.0,0.0,250.0,0.17113933236574747
